"", "X..mood.", "X..circumplex.arousal.", "X..circumplex.valence.", "X..activity.", "X..screen.", "X..call.", "X..sms.", "X..appCat.builtin.", "X..appCat.communication.", "X..appCat.entertainment.", "X..appCat.office.", "X..appCat.other.", "X..appCat.social.", "X..appCat.travel.", "X..appCat.unknown.", "X..appCat.utilities.", "X..day_0.", "X..day_1.", "X..day_2.", "X..day_3.", "X..day_4.", "X..day_5.", "X..day_6."
"X..mood.", 1, 0.138778664915928, 0.670738441861125, 0.13959126805003, 0.0396905173635248, 0.0365041132732512, -0.0248702688916625, 0.0138961803801696, 0.0411712940984636, 0.0889021657759091, 0.0345898862420858, 0.075733582323333, -0.0466063911500312, -0.00526750259234218, -0.033167471762258, 0.0619390859328601, -0.0406085977250165, -0.0333941878898439, -0.0438902201064291, -0.0162375491055341, 0.00797820913721165, 0.107323351723433, 0.0175063668082112
"X..circumplex.arousal.", 0.138778664915928, 1, 0.164568938962846, 0.00913997947966033, -0.130977741933576, 0.0137487687197085, -0.0156862667387267, 0.0572317309183453, -0.13918442172623, -0.0731798253259164, 0.0115136955190385, -0.0503836683400209, -0.0617710053458772, 0.00632740296284786, -0.0375386684301912, 0.00255485469925186, -0.0172516462362948, -0.00182491023094409, 0.0330279896450196, -0.00670208789742408, 0.0314792058173873, 0.0522446334421772, -0.0915778301885726
"X..circumplex.valence.", 0.670738441861125, 0.164568938962846, 1, 0.136143127838571, -0.00370232143675826, -0.0450378733975566, -0.0514283232999139, -0.032626252729765, 0.031521885161401, 0.0481333961884115, 0.0195271088891358, 0.0982318540156018, -0.0883432896892694, 0.0172645745470625, -0.0848958915416507, 0.0285025185016873, -0.036512801127334, -0.0203997329655042, -0.0755129173151485, -0.0205103403893528, 0.0502589475355405, 0.077383852375774, 0.0240735990997592
"X..activity.", 0.13959126805003, 0.00913997947966033, 0.136143127838571, 1, 0.214953335285121, 0.13095745010752, -0.0445883567302548, 0.0636395385742524, 0.24938075714752, 0.0590054793865425, 0.150110580649985, 0.0847073173692483, -0.0527789790257802, 0.0878755638833385, -0.0216482914977483, -0.0184437664132053, -0.0820688362209891, -0.0201228087733125, -0.00416934041498481, 0.000369044492413382, 0.0421615157548473, 0.113945854017355, -0.0515267477997599
"X..screen.", 0.0396905173635248, -0.130977741933576, -0.00370232143675826, 0.214953335285121, 1, 0.0164477219629926, -0.0036252157598795, 0.130672617581693, 0.672231164574679, 0.3154107472055, 0.101442831353614, 0.178601370009618, 0.473274529576677, -0.0114665967808714, 0.0584952835215014, 0.184080208539187, -0.00769014810721718, 0.0506707122106299, 0.0346058505825972, 0.030118476617615, 0.0159542299605587, -0.0802387095648937, -0.0422923228753051
"X..call.", 0.0365041132732512, 0.0137487687197085, -0.0450378733975566, 0.13095745010752, 0.0164477219629926, 1, 0.0116690639170273, 0.0594236643420593, -0.00422865087502685, -0.0100036281955779, -0.0531021645273041, 0.00770732579989586, -0.0471701928623215, 0.00283044831785095, -0.0249931187693986, -0.0256386028293171, -0.00229282437969743, -0.0229936623772363, -0.0296373551951806, -0.0295996067971954, 0.062006188095841, 0.0512444705581619, -0.0297778434765679
"X..sms.", -0.0248702688916625, -0.0156862667387267, -0.0514283232999139, -0.0445883567302548, -0.0036252157598795, 0.0116690639170273, 1, 0.0203284030893011, -0.00398801932341344, -0.0551197188053376, -0.000223963438242694, 0.00936433511011048, 0.0451583530909395, 0.0473002732032558, 0.0472362168412878, 0.0158202722628421, -0.000780221767606127, 0.0239034760753371, -0.0289823418690146, 0.0626699887373001, 0.0459862753833369, -0.0452216467692083, -0.0581995988247949
"X..appCat.builtin.", 0.0138961803801696, 0.0572317309183453, -0.032626252729765, 0.0636395385742524, 0.130672617581693, 0.0594236643420593, 0.0203284030893011, 1, -0.0194748617054567, 0.0223926385914837, -0.00997935419564496, -0.0344568507557079, 0.0946090271449405, -0.00571943798196941, 0.00918965996856115, 0.0378237688713218, -0.0374196823075177, 0.016898527896866, -0.0496017404720777, 0.0051237133263498, 0.0350981266433495, 0.040242513018926, -0.0108207253065762
"X..appCat.communication.", 0.0411712940984636, -0.13918442172623, 0.031521885161401, 0.24938075714752, 0.672231164574679, -0.00422865087502685, -0.00398801932341344, -0.0194748617054567, 1, 0.189555273838585, 0.0638116124186809, 0.205375962587779, 0.129766208471418, -0.00732498634438669, 0.0936734510156488, 0.0826544799548713, 0.00562957581754892, 0.0573251446613596, 0.0455493156873859, 0.0689206318168447, -0.00231599928349638, -0.092193482982412, -0.0820719325159588
"X..appCat.entertainment.", 0.0889021657759091, -0.0731798253259164, 0.0481333961884115, 0.0590054793865425, 0.3154107472055, -0.0100036281955779, -0.0551197188053376, 0.0223926385914837, 0.189555273838585, 1, 0.0276131618372061, 0.120359791003999, 0.0228489040851221, -0.002152082334402, 0.00873246438014673, -0.00360095824943348, -0.0109187648290827, 0.0172356079625719, -0.00367775516300689, -0.0169393699836244, 0.00599296440883872, -0.0193518297554146, 0.0283987425243599
"X..appCat.office.", 0.0345898862420858, 0.0115136955190385, 0.0195271088891358, 0.150110580649985, 0.101442831353614, -0.0531021645273041, -0.000223963438242694, -0.00997935419564496, 0.0638116124186809, 0.0276131618372061, 1, 0.0164747404992448, 0.0853147029164374, -0.014829481989342, 0.0106534468117535, -0.0277662839380569, -0.00873182489378805, -0.00271587267886796, -0.0157523704208673, -0.0149123383136588, -0.0151427899546564, 0.0702823688991112, -0.0134653966611031
"X..appCat.other.", 0.075733582323333, -0.0503836683400209, 0.0982318540156018, 0.0847073173692483, 0.178601370009618, 0.00770732579989586, 0.00936433511011048, -0.0344568507557079, 0.205375962587779, 0.120359791003999, 0.0164747404992448, 1, -0.0213721950833306, 0.035504719642751, 5.07047846087271e-05, 0.00963875167805923, 0.0198755162118259, -0.0132420695576716, 0.0498920310314058, -0.0155196719603833, -0.0238501252918028, -0.0403913847918862, 0.0239503836032422
"X..appCat.social.", -0.0466063911500312, -0.0617710053458772, -0.0883432896892694, -0.0527789790257802, 0.473274529576677, -0.0471701928623215, 0.0451583530909395, 0.0946090271449405, 0.129766208471418, 0.0228489040851221, 0.0853147029164374, -0.0213721950833306, 1, 0.00307561206533478, 0.00109706299958641, 0.0436779343542349, 0.0477507910803999, 0.0172653011723944, -0.0178845746993589, -0.00778282298032788, -0.00347749801999838, -0.0591855906722921, 0.0240138647542842
"X..appCat.travel.", -0.00526750259234218, 0.00632740296284786, 0.0172645745470625, 0.0878755638833385, -0.0114665967808714, 0.00283044831785095, 0.0473002732032558, -0.00571943798196941, -0.00732498634438669, -0.002152082334402, -0.014829481989342, 0.035504719642751, 0.00307561206533478, 1, -0.0378344708287135, -0.029071560786281, 0.0138136845262331, -0.0276581030229969, -0.0197223486934593, 0.00182689518156269, 0.060412113121063, -0.00953007278151799, -0.0201381743346512
"X..appCat.unknown.", -0.033167471762258, -0.0375386684301912, -0.0848958915416507, -0.0216482914977483, 0.0584952835215014, -0.0249931187693986, 0.0472362168412878, 0.00918965996856115, 0.0936734510156488, 0.00873246438014673, 0.0106534468117535, 5.07047846087271e-05, 0.00109706299958641, -0.0378344708287135, 1, -0.0696845729241407, -0.00489202262126629, 0.0276112049215513, -0.0398357601688961, 0.0240744309650693, -0.0282727025412741, 0.0377218969312964, -0.0166314293105304
"X..appCat.utilities.", 0.0619390859328601, 0.00255485469925186, 0.0285025185016873, -0.0184437664132053, 0.184080208539187, -0.0256386028293171, 0.0158202722628421, 0.0378237688713218, 0.0826544799548713, -0.00360095824943348, -0.0277662839380569, 0.00963875167805923, 0.0436779343542349, -0.029071560786281, -0.0696845729241407, 1, -0.0159667299861352, -0.0147541499203148, 0.0181712477649523, 0.0398318085113015, -0.0224887669973685, 0.00923289707859986, -0.0146112849945203
"X..day_0.", -0.0406085977250165, -0.0172516462362948, -0.036512801127334, -0.0820688362209891, -0.00769014810721718, -0.00229282437969743, -0.000780221767606127, -0.0374196823075177, 0.00562957581754892, -0.0109187648290827, -0.00873182489378805, 0.0198755162118259, 0.0477507910803999, 0.0138136845262331, -0.00489202262126629, -0.0159667299861352, 1, -0.163225139794625, -0.16590151544047, -0.170145235799533, -0.168559150649774, -0.169088535151793, -0.166434502438634
"X..day_1.", -0.0333941878898439, -0.00182491023094409, -0.0203997329655042, -0.0201228087733125, 0.0506707122106299, -0.0229936623772363, 0.0239034760753371, 0.016898527896866, 0.0573251446613596, 0.0172356079625719, -0.00271587267886796, -0.0132420695576716, 0.0172653011723944, -0.0276581030229969, 0.0276112049215513, -0.0147541499203148, -0.163225139794625, 1, -0.161158417042983, -0.165280810100237, -0.163740070877018, -0.164254320358862, -0.16167616602617
"X..day_2.", -0.0438902201064291, 0.0330279896450196, -0.0755129173151485, -0.00416934041498481, 0.0346058505825972, -0.0296373551951806, -0.0289823418690146, -0.0496017404720777, 0.0455493156873859, -0.00367775516300689, -0.0157523704208673, 0.0498920310314058, -0.0178845746993589, -0.0197223486934593, -0.0398357601688961, 0.0181712477649523, -0.16590151544047, -0.161158417042983, 1, -0.167990892232404, -0.166424889762734, -0.166947571308357, -0.164327143405087
"X..day_3.", -0.0162375491055341, -0.00670208789742408, -0.0205103403893528, 0.000369044492413382, 0.030118476617615, -0.0295996067971954, 0.0626699887373001, 0.0051237133263498, 0.0689206318168447, -0.0169393699836244, -0.0149123383136588, -0.0155196719603833, -0.00778282298032788, 0.00182689518156269, 0.0240744309650693, 0.0398318085113015, -0.170145235799533, -0.165280810100237, -0.167990892232404, 1, -0.170681997909491, -0.171218049521751, -0.168530591710929
"X..day_4.", 0.00797820913721165, 0.0314792058173873, 0.0502589475355405, 0.0421615157548473, 0.0159542299605587, 0.062006188095841, 0.0459862753833369, 0.0350981266433495, -0.00231599928349638, 0.00599296440883872, -0.0151427899546564, -0.0238501252918028, -0.00347749801999838, 0.060412113121063, -0.0282727025412741, -0.0224887669973685, -0.168559150649774, -0.163740070877018, -0.166424889762734, -0.170681997909491, 1, -0.16962196365757, -0.166959558190438
"X..day_5.", 0.107323351723433, 0.0522446334421772, 0.077383852375774, 0.113945854017355, -0.0802387095648937, 0.0512444705581619, -0.0452216467692083, 0.040242513018926, -0.092193482982412, -0.0193518297554146, 0.0702823688991112, -0.0403913847918862, -0.0591855906722921, -0.00953007278151799, 0.0377218969312964, 0.00923289707859986, -0.169088535151793, -0.164254320358862, -0.166947571308357, -0.171218049521751, -0.16962196365757, 1, -0.167483918939939
"X..day_6.", 0.0175063668082112, -0.0915778301885726, 0.0240735990997592, -0.0515267477997599, -0.0422923228753051, -0.0297778434765679, -0.0581995988247949, -0.0108207253065762, -0.0820719325159588, 0.0283987425243599, -0.0134653966611031, 0.0239503836032422, 0.0240138647542842, -0.0201381743346512, -0.0166314293105304, -0.0146112849945203, -0.166434502438634, -0.16167616602617, -0.164327143405087, -0.168530591710929, -0.166959558190438, -0.167483918939939, 1
